City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
202,Ponta Do Sol,PT,32.6667,-17.1,62.6,63,75,4.61,broken clouds
203,Chumikan,RU,54.7183,135.315,19.0,70,100,19.71,overcast clouds
204,Guerrero Negro,MX,27.9769,-114.0611,68.58,60,0,18.05,clear sky
205,Bengkulu,ID,-3.8004,102.2655,77.94,78,92,15.61,overcast clouds
206,San Quintin,MX,30.4833,-115.95,67.19,63,3,17.31,clear sky
207,Ahipara,NZ,-35.1667,173.1667,67.64,66,0,3.56,clear sky
208,Frome,GB,51.2283,-2.3221,41.0,72,0,1.01,clear sky
209,Aljezur,PT,37.3191,-8.8033,56.79,94,34,9.71,scattered clouds
210,Komlo,HU,46.1928,18.2649,39.11,63,0,9.78,clear sky
211,Oncesti,RO,46.4667,27.25,39.2,93,90,8.05,light rain
212,Torbay,CA,47.6666,-52.7314,39.0,93,90,8.05,overcast clouds
213,Broken Hill,AU,-31.95,141.4333,60.8,59,0,5.73,clear sky
214,Ulladulla,AU,-35.35,150.4667,66.2,68,28,14.97,scattered clouds
215,Saint Anthony,US,45.0205,-93.218,70.0,13,1,5.75,clear sky
216,Bom Jesus,BR,-9.0744,-44.3586,80.11,59,52,1.97,broken clouds
217,Kokopo,PG,-4.352,152.2633,81.55,73,96,3.42,light rain
218,Kokoda,PG,-8.8785,147.7407,74.05,98,100,0.11,overcast clouds
219,Ucluelet,CA,48.9329,-125.5528,46.4,93,90,16.11,mist
220,Bukama,CD,-9.2,25.85,69.22,89,16,1.23,few clouds
221,Brae,GB,60.3964,-1.353,46.4,81,90,21.85,overcast clouds
222,Mersing,MY,2.4312,103.8405,77.0,94,81,3.44,broken clouds
223,Deder,ET,9.3167,41.45,58.23,41,0,3.6,clear sky
224,Harsud,IN,22.1,76.7333,81.75,15,2,1.97,clear sky
225,Marawi,PH,7.9986,124.2928,68.25,95,90,0.51,overcast clouds
226,Tabou,CI,4.423,-7.3528,78.94,88,24,7.25,few clouds
227,Walvis Bay,NA,-22.9575,14.5053,69.8,64,3,5.75,clear sky
228,Tambovka,RU,50.0969,128.0489,23.0,58,20,6.91,few clouds
229,Los Banos,PH,14.1667,121.1833,79.0,73,20,2.3,few clouds
230,Great Falls,US,47.5002,-111.3008,71.01,13,1,21.85,clear sky
231,Roebourne,AU,-20.7833,117.1333,81.39,42,58,6.91,broken clouds
232,Georgetown,MY,5.4112,100.3354,81.0,94,40,6.91,light rain
233,Sinnamary,GF,5.3833,-52.95,77.38,90,93,12.88,light rain
234,Winton,US,37.3894,-120.6133,75.2,33,1,9.22,clear sky
235,West Wendover,US,40.7391,-114.0733,69.8,13,1,5.75,clear sky
236,Filadelfia,US,39.9523,-75.1638,53.01,19,75,8.55,broken clouds
237,San Miguel,SV,13.4833,-88.1833,98.6,36,20,2.3,few clouds
238,Namie,JP,37.4833,141.0,61.0,71,43,8.61,scattered clouds
239,Alofi,NU,-19.0595,-169.9187,84.2,74,87,8.05,overcast clouds
240,Hirara,JP,24.8,125.2833,73.24,81,98,24.14,overcast clouds
241,Chimbote,PE,-9.0853,-78.5783,74.32,72,21,9.01,few clouds
242,Goundam,ML,16.4145,-3.6708,82.36,6,4,8.72,clear sky
243,Chino Valley,US,34.7575,-112.4538,82.99,15,0,3.0,clear sky
244,Dunmanway,IE,51.7167,-9.1167,41.0,93,20,3.44,few clouds
245,Iquique,CL,-20.2208,-70.1431,68.0,73,90,4.61,overcast clouds
246,Conceicao Do Araguaia,BR,-8.2578,-49.2647,78.03,82,99,1.25,overcast clouds
247,Hualmay,PE,-11.0964,-77.6139,72.66,75,82,7.29,broken clouds
248,Saskylakh,RU,71.9167,114.0833,-28.08,100,76,2.33,broken clouds
249,Grand Gaube,MU,-20.0064,57.6608,79.0,83,11,3.0,light rain
250,Mayumba,GA,-3.432,10.6554,78.44,88,100,4.9,moderate rain
251,Yekaterinoslavka,RU,50.3734,129.1139,28.69,51,33,6.31,scattered clouds
252,Mehamn,NO,71.0357,27.8492,34.38,98,100,21.43,light snow
253,Laguna De Perlas,NI,12.3429,-83.6712,84.2,70,40,9.22,scattered clouds
254,Curup,ID,-3.4667,102.5333,67.17,96,98,1.59,overcast clouds
255,Batagay,RU,67.6333,134.6333,-6.95,96,100,4.09,overcast clouds
256,Cheremukhovo,RU,60.3484,59.9851,25.18,95,95,3.85,overcast clouds
257,Kavieng,PG,-2.5744,150.7967,82.27,75,75,2.91,light rain
258,Turkmenabat,TM,39.0733,63.5786,68.0,32,90,16.11,dust
259,Quatre Cocos,MU,-20.2078,57.7625,79.0,89,40,1.14,light rain
260,Sorland,NO,67.667,12.6934,36.32,97,100,15.7,light rain
261,Ulaangom,MN,49.9811,92.0667,28.38,47,0,1.12,clear sky
262,Dalvik,IS,65.9702,-18.5286,32.0,100,90,20.71,snow
263,Pochutla,MX,15.7432,-96.4661,89.29,38,0,8.5,clear sky
264,Pevek,RU,69.7008,170.3133,-15.23,97,97,5.97,overcast clouds
265,Makakilo City,US,21.3469,-158.0858,80.6,54,1,11.5,clear sky
266,Clearwater,US,27.9659,-82.8001,73.99,35,75,5.75,broken clouds
