City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
435,San Cristobal,VE,84.2,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
454,Ranau,MY,77.0,few clouds,5.9538,116.6641,Ranau Backpackers Hostel
456,Sur,OM,83.86,clear sky,22.5667,59.5289,Sur Plaza Hotel
457,Oranjestad,AW,82.4,few clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
463,Trairi,BR,78.51,few clouds,-3.2778,-39.2689,janelas do mar
464,Caravelas,BR,77.09,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
468,Mahebourg,MU,78.8,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
469,Skeldon,GY,77.4,overcast clouds,5.8833,-57.1333,Rits Hotel
471,Puerto Colombia,CO,79.34,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
473,Vaitape,PF,81.63,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
476,Honavar,IN,75.16,few clouds,14.2833,74.45,Hotel Sagar Residency
479,Phan Thiet,VN,76.03,broken clouds,10.9333,108.1,Hotel Saigon-PT
481,Santa Rosa,PH,79.0,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
483,Maiduguri,NG,79.39,broken clouds,11.8464,13.1603,Beach Guest Home
485,Vila Do Maio,CV,77.0,clear sky,15.1333,-23.2167,Residence 'I Delfini'
489,Sao Joao Da Barra,BR,78.8,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
490,Kudahuvadhoo,MV,82.71,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
491,Garissa,KE,81.25,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
493,Samarai,PG,83.71,overcast clouds,-10.6167,150.6667,Nuli Sapi
496,Port Blair,IN,79.27,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
498,Alappuzha,IN,80.47,few clouds,9.49,76.3264,Panoramic Sea Resort
501,Robertsport,LR,80.28,few clouds,6.7533,-11.3686,Kwepunha Retreat
504,Sao Gabriel Da Cachoeira,BR,78.66,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
508,Khajuraho,IN,76.1,clear sky,24.85,79.9333,The LaLiT Temple View Khajuraho
509,Waingapu,ID,78.4,heavy intensity rain,-9.6567,120.2641,Pondok Wisata Elim
513,Noumea,NC,78.8,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
515,Isla Mujeres,MX,80.6,scattered clouds,21.2311,-86.73100000000001,Hotel La Joya Isla Mujeres
516,Luganville,VU,83.73,light rain,-15.5333,167.1667,The Espiritu Hotel
523,Timbiqui,CO,76.77,moderate rain,2.7717,-77.6654,hotel diana
528,Cockburn Town,TC,78.8,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
529,Meulaboh,ID,75.81,moderate rain,4.1363,96.1285,Kost Pria
530,Mattru,SL,79.09,clear sky,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
531,Ormara,PK,79.93,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
533,Bogande,BF,83.39,clear sky,12.9714,-0.1436,Auberge Wendkouni
535,Cayenne,GF,78.8,heavy intensity rain,4.9333,-52.3333,Hôtel Le Dronmi
537,Tchollire,CM,81.07,overcast clouds,8.4022,14.1698,"Auberge ""l'amicale"""
538,Labuan,MY,78.8,few clouds,5.2767,115.2417,Tiara Labuan Hotel
539,Cabinda,AO,79.34,overcast clouds,-5.55,12.2,"Hotel Executivo , 3 estrelas"
540,Show Low,US,75.2,clear sky,34.2542,-110.0298,Hampton Inn & Suites Show Low-Pinetop
542,Bandarbeyla,SO,78.12,overcast clouds,9.4942,50.8122,JABIR HOTEL
545,Pauini,BR,78.15,light rain,-7.7136,-66.9764,Casa do Kiwliks
546,Bambanglipuro,ID,76.5,overcast clouds,-7.95,110.2833,Puri Brata
549,Badou,TG,79.29,overcast clouds,7.5833,0.6,Auberge la Victoire
551,San Fernando,PH,77.0,broken clouds,15.0286,120.6898,Maharlika Hostel
553,Nha Trang,VN,78.8,few clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
554,Bairiki,KI,84.2,light rain,1.3292,172.9752,Tarawa Boutique Hotel
560,Hat Yai,TH,78.8,scattered clouds,7.0084,100.4767,New Season Hotel
561,Ugoofaaru,MV,82.69,clear sky,5.6667,73.0,Ungoofaaru Inn
572,Sola,VU,84.2,broken clouds,-13.8833,167.55,Leumerus Bungalows
579,Le Port,RE,78.8,broken clouds,-20.9373,55.2919,Villa Maido
580,Tual,ID,83.08,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
594,Kampot,KH,80.6,scattered clouds,10.6167,104.1833,Two Moons Hotel
597,Santa Isabel Do Rio Negro,BR,77.97,light rain,-0.4139,-65.0192,Hotel GSA
598,Camocim,BR,78.13,broken clouds,-2.9022,-40.8411,Hotel Ilha do Amor
603,Pak Phanang,TH,78.13,overcast clouds,8.3511,100.20200000000001,Green Park Inn Hotel
604,Atar,MR,87.73,broken clouds,20.5169,-13.0499,Oumou Elghoura
606,Iralaya,HN,86.0,scattered clouds,15.0,-83.2333,Iglesia morava renovada
609,Bhadrachalam,IN,80.53,scattered clouds,17.6667,80.8833,Hotel Srinidhi Residency
612,Nouakchott,MR,77.0,clear sky,18.0858,-15.9785,HOTEL IMAN فندق إيمان
613,Daru,PG,75.33,overcast clouds,-9.0763,143.2092,Daru Lodge
616,Praya,CV,77.0,clear sky,14.9215,-23.5087,LT Aparthotel
617,Kupang,ID,77.0,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
618,Carauari,BR,79.07,overcast clouds,-4.8828,-66.8958,Hotel Fellip
625,Pemangkat,ID,75.56,broken clouds,1.1667,108.9667,Kost H.Syamsuddin
634,Fare,PF,82.06,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
638,Eyl,SO,79.56,scattered clouds,7.9803,49.8164,Amiin Hotel
639,Port-Gentil,GA,77.0,few clouds,-0.7193,8.7815,Fengshui Residence
642,Paita,PE,75.27,scattered clouds,-5.0892,-81.1144,Hotel Náutico de Paita
644,Acapulco,MX,87.8,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
647,Nabire,ID,75.92,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
650,Cururupu,BR,76.77,overcast clouds,-1.8283,-44.8683,Pousada Través'cia
654,Ejura,GH,86.22,overcast clouds,7.3856,-1.3562,Fire Servece
655,Rawson,AR,75.61,few clouds,-43.3002,-65.1023,Hosteria Sampedro
657,Zabid,YE,77.45,few clouds,14.1951,43.3152,دار الضيافة
659,Road Town,VG,82.4,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
664,Banjar,ID,82.4,scattered clouds,-8.19,114.9675,The Hamsa Resort
670,Jesus Maria,AR,77.0,few clouds,-30.9815,-64.0942,Posada Los Platanos
674,Fomboni,KM,82.99,scattered clouds,-12.28,43.7425,Relais Singani
675,Pisco,PE,75.2,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
677,Bahia Blanca,AR,75.7,overcast clouds,-38.7196,-62.2724,Hotel Argos
679,Kandrian,PG,80.42,light rain,-6.2167,149.55,Kandrian Station
682,Kavaratti,IN,82.09,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
684,Pilar,BR,80.6,few clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
692,Chilca,PE,77.0,clear sky,-12.5211,-76.7372,Playa Punta Yaya - Las Salinas
695,Harper,LR,79.14,broken clouds,4.375,-7.7169,Screensaver
